,close,high,low,open,volume
2018-12-31 15:31:30+00:00,67.3,67.3,67.3,67.3,1
2018-12-31 15:31:40+00:00,67.31,67.33,67.31,67.31,9
2018-12-31 15:31:50+00:00,67.31,67.31,67.31,67.31,0
2018-12-31 15:32:00+00:00,67.31,67.33,67.31,67.33,12
2018-12-31 15:32:10+00:00,67.3,67.3,67.3,67.3,3
2018-12-31 15:32:20+00:00,67.3,67.3,67.3,67.3,3
2018-12-31 15:32:30+00:00,67.34,67.34,67.31,67.31,10
2018-12-31 15:32:40+00:00,67.35,67.36,67.35,67.36,9
2018-12-31 15:32:50+00:00,67.35,67.35,67.35,67.35,0
2018-12-31 15:33:00+00:00,67.38,67.38,67.36,67.36,4
2018-12-31 15:33:10+00:00,67.38,67.38,67.38,67.38,0
2018-12-31 15:33:20+00:00,67.37,67.37,67.37,67.37,3
2018-12-31 15:33:30+00:00,67.36,67.37,67.36,67.37,2
2018-12-31 15:33:40+00:00,67.36,67.36,67.36,67.36,0
2018-12-31 15:33:50+00:00,67.36,67.36,67.36,67.36,0
2018-12-31 15:34:00+00:00,67.38,67.39,67.37,67.38,21
2018-12-31 15:34:10+00:00,67.39,67.39,67.38,67.38,2
2018-12-31 15:34:20+00:00,67.39,67.39,67.39,67.39,2
2018-12-31 15:34:30+00:00,67.38,67.39,67.38,67.38,7
2018-12-31 15:34:40+00:00,67.37,67.37,67.35,67.36,6
2018-12-31 15:34:50+00:00,67.35,67.36,67.35,67.36,3
2018-12-31 15:35:00+00:00,67.35,67.35,67.35,67.35,1
2018-12-31 15:35:10+00:00,67.33,67.34,67.33,67.34,9
2018-12-31 15:35:20+00:00,67.29,67.32,67.28,67.32,19
2018-12-31 15:35:30+00:00,67.28,67.29,67.28,67.29,6
2018-12-31 15:35:40+00:00,67.26,67.29,67.26,67.28,16
2018-12-31 15:35:50+00:00,67.26,67.26,67.26,67.26,0
2018-12-31 15:36:00+00:00,67.26,67.27,67.26,67.27,7
2018-12-31 15:36:10+00:00,67.3,67.3,67.26,67.27,7
2018-12-31 15:36:20+00:00,67.31,67.32,67.29,67.3,22
2018-12-31 15:36:30+00:00,67.31,67.31,67.31,67.31,1
2018-12-31 15:36:40+00:00,67.32,67.32,67.31,67.31,2
2018-12-31 15:36:50+00:00,67.31,67.31,67.31,67.31,1
2018-12-31 15:37:00+00:00,67.32,67.33,67.32,67.32,12
2018-12-31 15:37:10+00:00,67.32,67.32,67.32,67.32,5
2018-12-31 15:37:20+00:00,67.35,67.35,67.33,67.33,6
2018-12-31 15:37:30+00:00,67.34,67.35,67.34,67.34,12
2018-12-31 15:37:40+00:00,67.31,67.33,67.31,67.33,6
2018-12-31 15:37:50+00:00,67.31,67.31,67.31,67.31,1
2018-12-31 15:38:00+00:00,67.3,67.31,67.3,67.31,5
2018-12-31 15:38:10+00:00,67.28,67.3,67.28,67.29,5
2018-12-31 15:38:20+00:00,67.28,67.28,67.28,67.28,5
2018-12-31 15:38:30+00:00,67.28,67.28,67.24,67.26,12
2018-12-31 15:38:40+00:00,67.26,67.28,67.26,67.28,4
2018-12-31 15:38:50+00:00,67.28,67.28,67.26,67.26,3
2018-12-31 15:39:00+00:00,67.27,67.27,67.27,67.27,3
2018-12-31 15:39:10+00:00,67.28,67.28,67.28,67.28,5
2018-12-31 15:39:20+00:00,67.3,67.3,67.29,67.29,4
2018-12-31 15:39:30+00:00,67.3,67.3,67.29,67.29,4
2018-12-31 15:39:40+00:00,67.3,67.3,67.3,67.3,3
2018-12-31 15:39:50+00:00,67.32,67.32,67.31,67.31,17
2018-12-31 15:40:00+00:00,67.33,67.33,67.33,67.33,1
